======================================================================
Total cycles: 105068

Exclusive elapsed times for each method, not including time spent in
children, sorted by exclusive time.

    Usecs  self %  sum %  Method
     4822    4.59   4.59  [50] android/graphics/BitmapFactory.nativeDecodeAsset (ILandroid/graphics/Rect;Landroid/graphics/BitmapFactory$Options;ZF)Landroid/graphics/Bitmap;
     4457    4.24   8.83  [53] android/content/res/AssetManager.applyStyle (IIII[I[I[I)Z
     3710    3.53  12.36  [57] dalvik/system/VMDebug.startClassPrep ()V
     2094    1.99  14.36  [22] android/widget/TextView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
     1855    1.77  16.12  [28] android/app/ApplicationPackageManager.getDrawable (Ljava/lang/String;ILandroid/content/pm/ApplicationInfo;)Landroid/graphics/drawable/Drawable;
     1496    1.42  17.54  [18] android/view/View.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
     1304    1.24  18.79  [135] android/os/BinderProxy.transact (ILandroid/os/Parcel;Landroid/os/Parcel;I)Z
     1275    1.21  20.00  [140] android/content/res/AssetManager.openXmlAssetNative (ILjava/lang/String;)I
     1235    1.18  21.17  [142] android/content/res/StringBlock.nativeGetString (II)Ljava/lang/String;
     1026    0.98  22.15  [40] android/content/res/Resources$Theme.obtainStyledAttributes (Landroid/util/AttributeSet;[III)Landroid/content/res/TypedArray;
     1007    0.96  23.11  [147] java/lang/Class.getDeclaredConstructorOrMethod (Ljava/lang/Class;Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Member;
      988    0.94  24.05  [64] android/view/View.setFlags (II)V
      939    0.89  24.94  [30] android/view/View.<init> (Landroid/content/Context;)V
      934    0.89  25.83  [167] android/content/res/AssetManager.loadResourceValue (ISLandroid/util/TypedValue;Z)I
      933    0.89  26.72  [144] android/sec/enterprise/EnterpriseDeviceManager.getRestrictionPolicy ()Landroid/sec/enterprise/RestrictionPolicy;
      917    0.87  27.59  [93] android/view/View.findViewById (I)Landroid/view/View;
      857    0.82  28.41  [68] android/view/ViewGroup$MarginLayoutParams.<init> (Landroid/content/Context;Landroid/util/AttributeSet;)V
      826    0.79  29.20  [8] android/view/LayoutInflater.rInflate (Lorg/xmlpull/v1/XmlPullParser;Landroid/view/View;Landroid/util/AttributeSet;Z)V
      826    0.79  29.98  [129] android/view/View.invalidate (Z)V
      787    0.75  30.73  [103] android/view/ViewGroup.findViewTraversal (I)Landroid/view/View;
      785    0.75  31.48  [66] android/content/res/StringBlock.get (I)Ljava/lang/CharSequence;
      771    0.73  32.21  [37] android/provider/Settings$System.getString (Landroid/content/ContentResolver;Ljava/lang/String;)Ljava/lang/String;
      715    0.68  32.89  [145] android/os/Parcel.readInt ()I
      699    0.67  33.56  [190] android/sec/enterprise/EnterpriseDeviceManager.getApplicationPolicy ()Landroid/sec/enterprise/ApplicationPolicy;
      677    0.64  34.20  [199] android/content/res/TypedArray.getIndex (I)I
      623    0.59  34.79  [42] android/provider/Settings$NameValueCache.getString (Landroid/content/ContentResolver;Ljava/lang/String;)Ljava/lang/String;
      611    0.58  35.38  [20] android/content/res/Resources.loadDrawable (Landroid/util/TypedValue;I)Landroid/graphics/drawable/Drawable;
      594    0.57  35.94  [71] android/view/View.requestLayout ()V
      591    0.56  36.50  [58] android/view/View.setBackgroundDrawable (Landroid/graphics/drawable/Drawable;)V
      587    0.56  37.06  [156] android/content/res/TypedArray.getDimensionPixelSize (II)I
      571    0.54  37.61  [154] android/content/res/Resources.access$000 (Landroid/content/res/Resources;I)Landroid/content/res/TypedArray;
      566    0.54  38.14  [10] android/view/LayoutInflater.createView (Ljava/lang/String;Ljava/lang/String;Landroid/util/AttributeSet;)Landroid/view/View;
      540    0.51  38.66  [67] android/view/ViewGroup.addViewInner (Landroid/view/View;ILandroid/view/ViewGroup$LayoutParams;Z)V
      532    0.51  39.17  [52] android/widget/ImageView.<init> (Landroid/content/Context;Landroid/util/AttributeSet;I)V
      526    0.50  39.67  [161] java/lang/ref/FinalizerReference.add (Ljava/lang/Object;)V
      519    0.49  40.16  [232] android/os/SystemProperties.native_get_long (Ljava/lang/String;J)J
      500    0.48  40.64  [195] android/view/Window.getWindowStyle ()Landroid/content/res/TypedArray;
      498    0.47  41.11  [229] android/content/res/Resources.getCachedStyledAttributes (I)Landroid/content/res/TypedArray;
      482    0.46  41.57  [244] android/os/Parcel.nativeReadInt (I)I
      473    0.45  42.02  [123] android/widget/TextView.setText (Ljava/lang/CharSequence;Landroid/widget/TextView$BufferType;ZI)V
      452    0.43  42.45  [253] android/os/Parcel.nativeReadString (I)Ljava/lang/String;
      449    0.43  42.88  [65] android/content/Context.obtainStyledAttributes (Landroid/util/AttributeSet;[I)Landroid/content/res/TypedArray;
      442    0.42  43.30  [9] android/view/LayoutInflater.createViewFromTag (Landroid/view/View;Ljava/lang/String;Landroid/util/AttributeSet;)Landroid/view/View;
      431    0.41  43.71  [259] java/lang/System.arraycopy (Ljava/lang/Object;ILjava/lang/Object;II)V
      427    0.41  44.11  [215] java/util/HashMap.containsKey (Ljava/lang/Object;)Z
      419    0.40  44.51  [146] android/graphics/drawable/NinePatchDrawable.computeBitmapSize ()V
      408    0.39  44.90  [2] com/android/internal/policy/impl/PhoneWindow.setContentView (I)V
      400    0.38  45.28  [3] com/android/internal/policy/impl/PhoneWindow.installDecor ()V
      397    0.38  45.66  [209] android/graphics/drawable/NinePatchDrawable.getConstantState ()Landroid/graphics/drawable/Drawable$ConstantState;
      397    0.38  46.04  [268] java/lang/ref/Reference.<init> (Ljava/lang/Object;Ljava/lang/ref/ReferenceQueue;)V
      390    0.37  46.41  [174] android/graphics/drawable/Drawable.setCallback (Landroid/graphics/drawable/Drawable$Callback;)V
      388    0.37  46.78  [7] com/android/internal/policy/impl/PhoneWindow.generateLayout (Lcom/android/internal/policy/impl/PhoneWindow$DecorView;)Landroid/view/ViewGroup;
      385    0.37  47.14  [273] java/lang/String.hashCode ()I
      383    0.36  47.51  [125] android/widget/TextView.updateTextColors ()V
      380    0.36  47.87  [176] android/os/Parcel.readString ()Ljava/lang/String;
      379    0.36  48.23  [218] java/lang/ref/WeakReference.<init> (Ljava/lang/Object;)V
      378    0.36  48.59  [203] android/util/LongSparseArray.get (JLjava/lang/Object;)Ljava/lang/Object;
